ISO3,noh,Country Code,Country Name,2019,languages
SUR,3.94080817734868,SUR,Suriname,581372.0,Dutch
SWZ,4.73718042366691,SWZ,Eswatini,1148130.0,"English, Swati"
CHE,2.21288246373377,CHE,Switzerland,8574832.0,"German, French, Italian"
TJK,5.99313917762588,TJK,Tajikistan,9321018.0,Tajik
THA,3.69378409603518,THA,Thailand,69625582.0,Thai
TLS,5.26791911327593,TLS,Timor-Leste,1293119.0,"Tetum, Portuguese"
TGO,4.55131040551872,TGO,Togo,8082366.0,French
TTO,3.29086780304119,TTO,Trinidad and Tobago,1394973.0,English
TUR,4.07131378673696,TUR,Turkey,83429615.0,Turkish
UGA,4.53433756282406,UGA,Uganda,44269594.0,"Swahili (macrolanguage), English"
UKR,2.4582984193627597,UKR,Ukraine,44385155.0,Ukrainian
GBR,2.2653598482396498,GBR,United Kingdom,66834405.0,English
TZA,4.851547851761549,TZA,Tanzania,58005463.0,"Swahili (macrolanguage), English"
USA,2.49113173309193,USA,United States,328239523.0,
URY,2.7812603590557794,URY,Uruguay,3461734.0,Spanish
UZB,5.2420771378022595,UZB,Uzbekistan,33580650.0,"Uzbek, Uzbek"
VEN,4.33136162221914,VEN,"Venezuela, RB",28515829.0,Spanish
VNM,3.78309935825152,VNM,Vietnam,96462106.0,Vietnamese
YEM,6.672680640929281,YEM,"Yemen, Rep.",29161922.0,Arabic
ZMB,5.13078885536711,ZMB,Zambia,17861030.0,English
ZWE,4.07717933273453,ZWE,Zimbabwe,14645468.0,"Shona, English, North Ndebele"
